Ticker,XCH,LTP,Qty.,Chg,% Chg,Bid Qty,Bid,Open,P.Close,Low,High,Avg Price,T.Volume,Total Value,OI,OI Change,No.of contracts,Strike Price,Exp. Date,Option Type,P.Open,OI-Combined Fut,5-Days Avg Vol,Calc Column 1
Index Options,NSE,0.0,0,0.0,0.0,1125,1142.3,0.0,2072.6,0.0,0.0,0.0,0,0.0,0,0,0,22050.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,2.9,71126,-0.5,-14.705882352941178,28575,2.85,2.15,3.4,2.05,4.5,2.76,71126,147.23,15659,-159,71126,22050.0,23-Jan-2025,Put,2.15,0.0,0.0,0.019630776
Index Options,NSE,0.0,0,0.0,0.0,1125,1092.7,0.0,1137.6,0.0,0.0,0.0,0,0.0,23,0,0,22100.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,3.1,152821,-0.5,-13.88888888888889,18600,3.1,3.6,3.6,2.15,5.05,2.99,152821,342.7,26484,-14689,152821,22100.0,23-Jan-2025,Put,3.6,0.0,0.0,0.045693479
Index Options,NSE,1045.0,1,-932.5999999999999,-47.1581715210356,150,1064.55,1045.0,1977.6,1045.0,1045.0,1045.0,1,0.78,0,0,1,22150.0,23-Jan-2025,Call,1045.0,0.0,0.0,0.0001045
Index Options,NSE,3.55,58390,-0.3500000000000001,-8.974358974358978,7800,3.5,2.55,3.9,2.35,5.65,3.3,58390,144.52,9738,263,58390,22150.0,23-Jan-2025,Put,2.55,0.0,0.0,0.0192687
Index Options,NSE,0.0,0,0.0,0.0,1125,993.85,0.0,1196.05,0.0,0.0,0.0,0,0.0,19,0,0,22200.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,3.9,268074,-0.30000000000000027,-7.1428571428571495,10875,3.85,3.35,4.2,2.4,6.35,3.49,268074,701.68,59774,-9866,268074,22200.0,23-Jan-2025,Put,3.35,0.0,0.0,0.093557826
Index Options,NSE,0.0,0,0.0,0.0,1125,944.75,0.0,1883.5,0.0,0.0,0.0,0,0.0,0,0,0,22250.0,23-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,4.7,98429,0.35000000000000053,8.045977011494266,10725,4.65,2.65,4.35,2.6,7.3,4.18,98429,308.57,15265,1915,98429,22250.0,23-Jan-2025,Put,2.65,0.0,0.0,0.041143321999999996
