Ticker,XCH,LTP,Qty.,Chg,% Chg,Bid Qty,Bid,Open,P.Close,Low,High,Avg Price,T.Volume,Total Value,OI,OI Change,No.of contracts,Strike Price,Exp. Date,Option Type,P.Open,OI-Combined Fut,5-Days Avg Vol,Calc Column 1
Index Options,NSE,0.0,0,0.0,0.0,600,3920.85,0.0,8395.85,0.0,0.0,0.0,0,0.0,0,0,0,44300.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,3.15,9927,-0.7000000000000002,-18.181818181818183,195,1.7,4.0,3.85,2.05,5.1,2.97,9927,4.42,2864,191,9927,44300.0,30-Jan-2025,Put,4.0,0.0,0.0,0.002948319
Index Options,NSE,0.0,0,0.0,0.0,600,3812.95,0.0,8302.75,0.0,0.0,0.0,0,0.0,0,0,0,44400.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,4.35,10302,0.2999999999999998,7.407407407407403,600,2.3,4.55,4.05,1.95,4.9,2.94,10302,4.54,2418,666,10302,44400.0,30-Jan-2025,Put,4.55,0.0,0.0,0.003028788
Index Options,NSE,4983.65,0,1.1499999999996362,0.02308078273958126,600,3721.75,0.0,4982.5,0.0,0.0,0.0,0,0.0,2,0,0,44500.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,4.0,121010,-0.6500000000000004,-13.978494623655921,11925,4.0,4.2,4.65,2.6,5.25,3.53,121010,64.07,45145,9907,121010,44500.0,30-Jan-2025,Put,4.2,0.0,0.0,0.042716529999999996
Index Options,NSE,0.0,0,0.0,0.0,600,3622.6,0.0,8117.2,0.0,0.0,0.0,0,0.0,0,0,0,44600.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,4.95,15106,0.40000000000000036,8.791208791208799,300,2.3,2.9,4.55,2.25,5.35,3.51,15106,7.95,3593,656,15106,44600.0,30-Jan-2025,Put,2.9,0.0,0.0,0.005302205999999999
Index Options,NSE,0.0,0,0.0,0.0,600,3524.1,0.0,8024.8,0.0,0.0,0.0,0,0.0,0,0,0,44700.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,3.1,12677,-1.9,-38.0,15,3.0,5.0,5.0,2.85,6.0,4.1,12677,7.8,3142,422,12677,44700.0,30-Jan-2025,Put,5.0,0.0,0.0,0.0051975699999999994
Index Options,NSE,0.0,0,0.0,0.0,600,3386.55,0.0,7932.65,0.0,0.0,0.0,0,0.0,0,0,0,44800.0,30-Jan-2025,Call,0.0,0.0,0.0,0.0
Index Options,NSE,4.0,22717,-1.0499999999999998,-20.79207920792079,435,2.05,3.05,5.05,2.05,6.05,4.12,22717,14.04,4371,360,22717,44800.0,30-Jan-2025,Put,3.05,0.0,0.0,0.009359404
